timestamp,equity,drawdown
2026-02-17 15:45:00-05:00,25000.0,0.0
2026-02-18 15:45:00-05:00,25000.0,0.0
2026-02-19 15:45:00-05:00,24973.700798611902,0.0010519680555239029
2026-02-20 15:45:00-05:00,24887.49596225227,0.00450016150990923
2026-02-23 15:45:00-05:00,24896.47176102699,0.004141129558920365
2026-02-24 15:45:00-05:00,24787.84002893281,0.00848639884268763
2026-02-25 15:45:00-05:00,24613.78482143234,0.015448607142706459
2026-02-26 15:45:00-05:00,24561.605093682512,0.01753579625269951
2026-02-27 15:45:00-05:00,24347.145558876746,0.026114177644930167
2026-03-02 15:45:00-05:00,24389.18100861254,0.024432759655498376
2026-03-03 15:45:00-05:00,24539.321723733752,0.018427131050649914
2026-03-04 15:45:00-05:00,24521.4211684352,0.01914315326259195
2026-03-05 15:45:00-05:00,24656.810550656846,0.013727577973726148
2026-03-06 15:45:00-05:00,24789.878669411744,0.008404853223530226
2026-03-09 15:45:00-04:00,25023.8445026762,0.001962828393478925
2026-03-10 15:45:00-04:00,24956.02524576192,0.004667694120403609
2026-03-11 15:45:00-04:00,24848.34558154674,0.00896233028237972
2026-03-12 15:45:00-04:00,24751.03998175194,0.012843212997675196
2026-03-13 15:45:00-04:00,24480.529671592496,0.023632096568825114
2026-03-16 15:45:00-04:00,24458.431602580018,0.02451344372924327
2026-03-17 15:45:00-04:00,24306.6135644153,0.030568470381625225
2026-03-18 15:45:00-04:00,24129.91234832367,0.037615923937719044
