trade_id,symbol,direction,signal_time,signal_close,signal_reason,signal_conf,atr_at_signal,entry_time,entry_price,shares,stop_loss,take_profit,risk_amount,equity_at_entry,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage,net_pnl,net_pnl_pct,won,period
1,MSFT,SELL,2026-02-19 09:45:00-05:00,402.0,MACD↓ hist=-0.0221 | BB upper pct_b=0.93,0.444,1.388996966501163,2026-02-19 10:00:00-05:00,401.75901145935063,12.445271561770289,403.8425069091024,397.59202055984713,250.0,24999.0,2026-02-19 10:00:00-05:00,404.0444281625569,SL,-28.4426,1.0,5.013,-29.4426,-0.001178,False,train
4,AAPL,BUY,2026-02-19 12:45:00-05:00,262.0799865722656,RSI oversold=31.4 | BB lower pct_b=-0.12,0.556,0.8644826410163968,2026-02-19 13:00:00-05:00,262.2110265655517,19.04386531376857,260.9143026040271,264.80447448860093,249.67557368496793,24966.557368496793,2026-02-19 14:30:00-05:00,260.78384545272513,SL,-27.179,1.0,4.9812,-28.179,-0.001129,False,train
6,NVDA,BUY,2026-02-19 14:30:00-05:00,186.6300048828125,MACD✗↑ hist=+0.0131,0.444,0.7390811666401234,2026-02-19 14:45:00-05:00,186.73292246246336,26.709139443387254,185.62430071250319,188.95016596238372,249.37378323605768,24936.378323605768,2026-02-19 15:45:00-05:00,187.7960543899536,EOD,28.3953,1.0,5.0029,27.3953,0.001099,True,train
7,AAPL,BUY,2026-02-19 14:45:00-05:00,260.4100036621094,RSI oversold=26.5 | BB lower pct_b=-0.03,0.556,0.7933557348120214,2026-02-19 15:00:00-05:00,260.5301938934326,19.142793356078915,259.3401602912146,262.91026109786867,249.36378323605769,24935.378323605768,2026-02-19 15:45:00-05:00,260.37975476074223,EOD,-2.8798,1.0,4.9871,-3.8798,-0.000156,False,train
2,MSFT,SELL,2026-02-19 11:00:00-05:00,400.864990234375,MACD✗↓ hist=-0.0138,0.444,1.5388107108686444,2026-02-19 11:15:00-05:00,400.67456250000004,12.463759721954792,402.982778566303,396.0581303673941,249.69557368496794,24968.557368496793,2026-02-19 15:45:00-05:00,398.6092086639404,EOD,25.7421,1.0,4.9798,24.7421,0.000991,True,train
3,GOOGL,BUY,2026-02-19 11:00:00-05:00,303.70001220703125,MACD✗↑ hist=+0.0585,0.444,1.4504034513180506,2026-02-19 11:15:00-05:00,303.8818759918213,16.433067807682484,301.70627081484423,308.23308634577546,249.68557368496795,24967.557368496793,2026-02-19 15:45:00-05:00,302.7085553588867,EOD,-19.2813,1.0,4.9853,-20.2813,-0.000812,False,train
5,QQQ,BUY,2026-02-19 12:45:00-05:00,601.489990234375,RSI oversold=34.4 | BB lower pct_b=-0.09,0.556,1.7802262106785334,2026-02-19 13:00:00-05:00,601.8107647705078,8.29714549157905,599.14042545449,607.1514434025435,249.66557368496794,24965.557368496793,2026-02-19 15:45:00-05:00,603.1782404785157,EOD,11.3461,1.0,5.0002,10.3461,0.000414,True,train
8,AAPL,BUY,2026-02-20 09:30:00-05:00,259.8988952636719,RSI oversold=28.2 | BB lower pct_b=0.08,0.556,0.9138675551101727,2026-02-20 09:45:00-05:00,260.0099448852539,19.209804309318365,258.6391435525886,262.7515475505844,249.73700798611904,24972.700798611902,2026-02-20 09:45:00-05:00,258.5098239808123,SL,-28.817,1.0,4.9816,-29.817,-0.001194,False,train
10,MSFT,SELL,2026-02-20 09:45:00-05:00,396.45001220703125,MACD✗↓ hist=-0.0047,0.444,1.2723744338866834,2026-02-20 10:00:00-05:00,396.3517127990723,12.585732804561577,398.26027444990234,392.53458949741224,249.41883769597263,24940.88376959726,2026-02-20 10:00:00-05:00,398.45940458712727,SL,-26.5268,1.0,5.0004,-27.5268,-0.001104,False,train
9,GOOGL,SELL,2026-02-20 09:30:00-05:00,310.0400085449219,RSI overbought=74.9 | BB upper pct_b=1.46,0.556,1.5512936241660569,2026-02-20 09:45:00-05:00,309.91497232055667,16.09659809775044,312.24191275680573,305.2610914480585,249.42883769597262,24941.88376959726,2026-02-20 10:30:00-05:00,312.39803371318413,SL,-39.9688,1.0,5.0073,-40.9688,-0.001643,False,train
