trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,A,LONG,2024-04-05,87.98,3.5270149567111604,2024-04-08,88.71433499999999,35.2254,85.1873,125.0,12499.0,2024-04-09,85.1447,SL,2,-125.741,1.0,-126.741,-0.01014,False,all
2,NVDA,A,LONG,2024-06-25,126.1,5.488702662263909,2024-06-26,126.24309,22.5413,120.7544,123.72,12371.26,2024-07-01,120.694,SL,4,-125.0836,1.0,-126.0836,-0.010192,False,all
3,NVDA,A,LONG,2024-11-01,135.4,4.651403389063621,2024-11-04,137.29861499999998,22.2966,132.6472,122.45,12244.18,2024-11-27,132.5809,SL,18,-105.1893,1.0,-106.1893,-0.008673,False,all
4,NVDA,A,SHORT,2025-03-26,113.715,5.961390364603371,2025-03-27,111.30432,20.361,117.2657,121.38,12136.99,2025-04-24,106.4332,TIME,20,99.1811,1.0,98.1811,0.008089,True,all
5,NVDA,A,LONG,2025-08-22,177.98,4.27125480533574,2025-08-25,178.44918,17.141,174.1779,122.35,12234.17,2025-08-29,174.0908,SL,5,-74.7062,1.0,-75.7062,-0.006188,False,all
6,NVDA,A,LONG,2025-11-10,199.045,6.929888129090961,2025-11-11,195.2976,15.564,188.3677,121.58,12157.46,2025-11-13,188.2735,SL,3,-109.3228,1.0,-110.3228,-0.009074,False,all
1,AAPL,A,LONG,2023-12-27,193.19,2.6142699787169383,2023-12-28,194.21706,16.0902,191.6028,125.0,12499.0,2024-01-02,191.507,SL,3,-43.6057,1.0,-44.6057,-0.003569,False,all
2,AAPL,A,SHORT,2024-03-21,171.38,3.3671004127275856,2024-03-22,171.67412,18.1367,175.0412,124.54,12453.39,2024-04-11,175.1287,SL,14,-62.6554,1.0,-63.6554,-0.005111,False,all
3,AAPL,A,SHORT,2025-04-03,203.01,5.716974639294871,2025-04-04,193.82803750000002,15.9803,199.545,123.9,12388.74,2025-04-04,199.6448,SL,1,-92.9535,1.0,-93.9535,-0.007584,False,all
4,AAPL,A,LONG,2025-09-12,234.04,4.7144760887852115,2025-09-15,236.85837,12.9769,232.1439,122.95,12293.79,2025-09-22,250.8763,TP,6,181.9098,1.0,180.9098,0.014716,True,all
5,AAPL,A,LONG,2025-10-15,249.405,4.838413352430245,2025-10-16,248.394135,12.5553,243.5557,124.75,12473.7,2025-10-27,262.7779,TP,8,180.5934,1.0,179.5934,0.014398,True,all
6,AAPL,A,LONG,2025-11-21,271.49,5.6794569152962024,2025-11-24,271.385625,11.6562,265.7062,126.53,12652.29,2025-12-22,270.6846,TIME,20,-8.1714,1.0,-9.1714,-0.000725,False,all
