ts,symbol,combo,event,beta_60
2023-12-15,NVDA,C,beta_gate_fail,1.5517525624144295
2023-12-18,NVDA,C,beta_gate_fail,1.564546967661062
2023-12-19,NVDA,C,beta_gate_fail,1.5528963519393841
2023-12-20,NVDA,C,beta_gate_fail,1.6176830986093806
2023-12-21,NVDA,C,beta_gate_fail,1.6164751851205619
2023-12-22,NVDA,C,beta_gate_fail,1.6149801567888384
2023-12-26,NVDA,C,beta_gate_fail,1.6176707962348351
2023-12-27,NVDA,C,beta_gate_fail,1.5994496993052478
2023-12-28,NVDA,C,beta_gate_fail,1.6026459103558637
2023-12-29,NVDA,C,beta_gate_fail,1.612582463723295
2024-01-02,NVDA,C,beta_gate_fail,1.6274036060015764
2024-01-03,NVDA,C,beta_gate_fail,1.6192155908936694
2024-01-04,NVDA,C,beta_gate_fail,1.6110289013734407
2024-01-05,NVDA,C,beta_gate_fail,1.6067612314995758
2024-01-08,NVDA,C,beta_gate_fail,1.6977123134558685
2024-01-09,NVDA,C,beta_gate_fail,1.7066207112584455
2024-01-10,NVDA,C,beta_gate_fail,1.6932176440631563
2024-01-11,NVDA,C,beta_gate_fail,1.7042426846265053
2024-01-12,NVDA,C,beta_gate_fail,1.6700083924403932
2024-01-16,NVDA,C,beta_gate_fail,1.608100898545438
2024-01-17,NVDA,C,beta_gate_fail,1.6249342845836874
2024-01-18,NVDA,C,beta_gate_fail,1.6271212878758015
2024-01-19,NVDA,C,beta_gate_fail,1.6503019592096706
2024-01-22,NVDA,C,beta_gate_fail,1.6507999739233263
2024-01-23,NVDA,C,beta_gate_fail,1.6297781407048189
2024-01-24,NVDA,C,beta_gate_fail,1.6058495119699738
2024-01-25,NVDA,C,beta_gate_fail,1.6070415367408444
2024-01-26,NVDA,C,beta_gate_fail,1.6166870341357695
2024-01-29,NVDA,C,beta_gate_fail,1.634446326783403
2024-01-30,NVDA,C,beta_gate_fail,1.577073881777788
2024-01-31,NVDA,C,beta_gate_fail,1.5426239187004913
2024-02-01,NVDA,C,beta_gate_fail,1.5209806442004683
2024-02-02,NVDA,C,beta_gate_fail,1.584759431382291
2024-02-05,NVDA,C,beta_gate_fail,1.5614979729189187
2024-02-06,NVDA,C,beta_gate_fail,1.5784653663281218
2024-02-07,NVDA,C,beta_gate_fail,1.6335064629869425
2024-02-08,NVDA,C,beta_gate_fail,1.6828100135398871
2024-02-09,NVDA,C,beta_gate_fail,1.7212827305493057
2024-02-12,NVDA,C,beta_gate_fail,1.797112165563374
2024-02-13,NVDA,C,beta_gate_fail,1.6934840407486254
2024-02-14,NVDA,C,beta_gate_fail,1.696884543618817
2024-02-15,NVDA,C,beta_gate_fail,1.6889394242039164
2024-02-16,NVDA,C,beta_gate_fail,1.6660636427375946
2024-02-20,NVDA,C,beta_gate_fail,1.7321556800457696
2024-02-21,NVDA,C,beta_gate_fail,1.785692563742376
2024-02-22,NVDA,C,beta_gate_fail,2.3523320226071807
2024-02-23,NVDA,C,beta_gate_fail,2.34967012129703
2024-02-26,NVDA,C,beta_gate_fail,2.352080203238951
2024-02-27,NVDA,C,beta_gate_fail,2.3537677923455447
2024-02-28,NVDA,C,beta_gate_fail,2.339536340149629
2024-02-29,NVDA,C,beta_gate_fail,2.331652499890527
2024-03-01,NVDA,C,beta_gate_fail,2.312265865977025
2024-03-04,NVDA,C,beta_gate_fail,2.2665154133665393
2024-03-05,NVDA,C,beta_gate_fail,2.0860460702891914
2024-03-06,NVDA,C,beta_gate_fail,2.124671663254974
2024-03-07,NVDA,C,beta_gate_fail,2.1345959238040466
2024-03-08,NVDA,C,beta_gate_fail,2.274613350137483
2024-03-11,NVDA,C,beta_gate_fail,2.293518969764985
2024-03-12,NVDA,C,beta_gate_fail,2.407636906168451
2024-03-13,NVDA,C,beta_gate_fail,2.4071121865865526
2024-03-14,NVDA,C,beta_gate_fail,2.4299438559665045
2024-03-15,NVDA,C,beta_gate_fail,2.386990265607563
2024-03-18,NVDA,C,beta_gate_fail,2.3832817860293307
2024-03-19,NVDA,C,beta_gate_fail,2.3792699039142464
2024-03-20,NVDA,C,beta_gate_fail,2.3656205551936713
2024-03-21,NVDA,C,beta_gate_fail,2.3632932963192017
2024-03-22,NVDA,C,beta_gate_fail,2.3704386425146575
2024-03-25,NVDA,C,beta_gate_fail,2.364850590090751
2024-03-26,NVDA,C,beta_gate_fail,2.3831177478068457
2024-03-27,NVDA,C,beta_gate_fail,2.3697284388700903
2024-03-28,NVDA,C,beta_gate_fail,2.3907606888513744
2024-04-01,NVDA,C,beta_gate_fail,2.404435486917771
2024-04-02,NVDA,C,beta_gate_fail,2.4112673080095655
2024-04-03,NVDA,C,beta_gate_fail,2.4124654889452306
2024-04-04,NVDA,C,beta_gate_fail,2.391878629194821
2024-04-05,NVDA,C,beta_gate_fail,2.3712839562837713
2024-04-08,NVDA,C,beta_gate_fail,2.372771978921289
2024-04-09,NVDA,C,beta_gate_fail,2.357733930330762
2024-04-10,NVDA,C,beta_gate_fail,2.294603430421993
2024-04-11,NVDA,C,beta_gate_fail,2.2968511587401053
2024-04-12,NVDA,C,beta_gate_fail,2.2805969159134167
2024-04-15,NVDA,C,beta_gate_fail,2.303532669866588
2024-04-16,NVDA,C,beta_gate_fail,2.332570838873218
2024-04-17,NVDA,C,beta_gate_fail,2.364966799214177
2024-04-18,NVDA,C,beta_gate_fail,2.358268021903557
2024-04-19,NVDA,C,beta_gate_fail,2.5339852060526433
2024-04-22,NVDA,C,beta_gate_fail,2.5554167456548234
2024-04-23,NVDA,C,beta_gate_fail,2.5378877231939505
2024-04-24,NVDA,C,beta_gate_fail,2.526137704385403
2024-04-25,NVDA,C,beta_gate_fail,2.510433231443004
2024-04-26,NVDA,C,beta_gate_fail,2.622071368077158
2024-04-29,NVDA,C,beta_gate_fail,2.6373821157506194
2024-04-30,NVDA,C,beta_gate_fail,2.551773887472295
2024-05-01,NVDA,C,beta_gate_fail,2.5912709336012525
2024-05-02,NVDA,C,beta_gate_fail,2.577581067995388
2024-05-03,NVDA,C,beta_gate_fail,2.521441997862212
2024-05-06,NVDA,C,beta_gate_fail,2.5332879899258836
2024-05-07,NVDA,C,beta_gate_fail,2.5259815385895
2024-05-08,NVDA,C,beta_gate_fail,2.5309959402911297
2024-05-09,NVDA,C,beta_gate_fail,2.6090298946746624
2024-05-10,NVDA,C,beta_gate_fail,2.6238217956957337
2024-05-13,NVDA,C,beta_gate_fail,2.632335255044518
2024-05-14,NVDA,C,beta_gate_fail,2.6520986841425787
2024-05-15,NVDA,C,beta_gate_fail,2.6024599168709805
2024-05-16,NVDA,C,beta_gate_fail,2.586044173638895
2024-05-17,NVDA,C,beta_gate_fail,2.1727027706655373
2024-05-20,NVDA,C,beta_gate_fail,2.1868862782749257
2024-05-21,NVDA,C,beta_gate_fail,2.187363724957174
2024-05-22,NVDA,C,beta_gate_fail,2.1913762848517377
2024-05-23,NVDA,C,beta_gate_fail,2.1012346330910514
2024-05-24,NVDA,C,beta_gate_fail,2.109777844555535
2024-05-28,NVDA,C,beta_gate_fail,2.1318494419931566
2024-05-29,NVDA,C,beta_gate_fail,2.1403562567818217
2024-05-30,NVDA,C,beta_gate_fail,2.3223256958627196
2024-05-31,NVDA,C,beta_gate_fail,2.3078541278700144
2024-06-03,NVDA,C,beta_gate_fail,2.312894352371766
2024-06-04,NVDA,C,beta_gate_fail,2.237141394975069
2024-06-05,NVDA,C,beta_gate_fail,2.230536349203702
2024-06-06,NVDA,C,beta_gate_fail,2.1446509275306695
2024-06-07,NVDA,C,beta_gate_fail,2.1497311020449557
2024-06-10,NVDA,C,beta_gate_fail,2.1281831479129574
2024-06-11,NVDA,C,beta_gate_fail,2.1474345719515693
2024-06-12,NVDA,C,beta_gate_fail,2.1771452555137354
2024-06-13,NVDA,C,beta_gate_fail,2.190506767010293
2024-06-14,NVDA,C,beta_gate_fail,2.234956660172156
2024-06-17,NVDA,C,beta_gate_fail,2.156893532824231
2024-06-18,NVDA,C,beta_gate_fail,2.153743547610058
2024-06-20,NVDA,C,beta_gate_fail,2.2031505225406667
2024-06-21,NVDA,C,beta_gate_fail,2.205407947020666
2024-06-24,NVDA,C,beta_gate_fail,2.3350535648670285
2024-06-25,NVDA,C,beta_gate_fail,2.4075029192557365
2024-06-26,NVDA,C,beta_gate_fail,2.407785459850359
2024-06-27,NVDA,C,beta_gate_fail,2.4194680290932324
2024-06-28,NVDA,C,beta_gate_fail,2.414519322998035
2024-07-01,NVDA,C,beta_gate_fail,2.4071824589232977
2024-07-02,NVDA,C,beta_gate_fail,2.353383402116349
2024-07-03,NVDA,C,beta_gate_fail,2.3792785833216317
2024-07-05,NVDA,C,beta_gate_fail,2.3116624041824383
2024-07-08,NVDA,C,beta_gate_fail,2.390612823280614
2024-07-09,NVDA,C,beta_gate_fail,2.38590716439293
2024-07-10,NVDA,C,beta_gate_fail,2.4269756275442402
2024-07-11,NVDA,C,beta_gate_fail,2.4909552060428726
2024-07-12,NVDA,C,beta_gate_fail,2.496894172676844
2024-07-15,NVDA,C,beta_gate_fail,2.468671332022722
2024-07-16,NVDA,C,beta_gate_fail,2.5142307100008727
2024-07-17,NVDA,C,beta_gate_fail,2.2470479964745596
2024-07-18,NVDA,C,beta_gate_fail,2.166061637241931
2024-07-19,NVDA,C,beta_gate_fail,2.184931325414233
2024-07-22,NVDA,C,beta_gate_fail,2.225261622468431
2024-07-23,NVDA,C,beta_gate_fail,2.2902294473596965
2024-07-24,NVDA,C,beta_gate_fail,2.160052769869386
2024-07-25,NVDA,C,beta_gate_fail,2.157432799350214
2024-07-26,NVDA,C,beta_gate_fail,2.203294253229531
2024-07-29,NVDA,C,beta_gate_fail,2.165875297062766
2024-07-30,NVDA,C,beta_gate_fail,2.265423139615788
2024-07-31,NVDA,C,beta_gate_fail,2.5589418763265708
2024-08-01,NVDA,C,beta_gate_fail,2.5662071813599217
2024-08-02,NVDA,C,beta_gate_fail,2.4400058776876903
2024-08-05,NVDA,C,beta_gate_fail,2.423907060125815
2024-08-06,NVDA,C,beta_gate_fail,2.4397387485263775
2024-08-07,NVDA,C,beta_gate_fail,2.4705789584471187
2024-08-08,NVDA,C,beta_gate_fail,2.4249641220793134
2024-08-09,NVDA,C,beta_gate_fail,2.419101813886007
2024-08-12,NVDA,C,beta_gate_fail,2.433087365954312
2024-08-13,NVDA,C,beta_gate_fail,2.436079360867232
2024-08-14,NVDA,C,beta_gate_fail,2.4344027042784147
2024-08-15,NVDA,C,beta_gate_fail,2.379968913812652
2024-08-16,NVDA,C,beta_gate_fail,2.3805427995149695
2024-08-19,NVDA,C,beta_gate_fail,2.3901618437445156
2024-08-20,NVDA,C,beta_gate_fail,2.4452134517221635
2024-08-21,NVDA,C,beta_gate_fail,2.4428778025911435
2024-08-22,NVDA,C,beta_gate_fail,2.42350031558418
2024-08-23,NVDA,C,beta_gate_fail,2.454051196038113
2024-08-26,NVDA,C,beta_gate_fail,2.4420692725072324
2024-08-27,NVDA,C,beta_gate_fail,2.442558413606814
2024-08-28,NVDA,C,beta_gate_fail,2.4252864977132207
2024-08-29,NVDA,C,beta_gate_fail,2.433394401346024
2024-08-30,NVDA,C,beta_gate_fail,2.415760057811304
2024-09-03,NVDA,C,beta_gate_fail,2.46968762043043
2024-09-04,NVDA,C,beta_gate_fail,2.471930502085272
2024-09-05,NVDA,C,beta_gate_fail,2.472643094583507
2024-09-06,NVDA,C,beta_gate_fail,2.431354202883011
2024-09-09,NVDA,C,beta_gate_fail,2.430997690623715
2024-09-10,NVDA,C,beta_gate_fail,2.414565877760825
2024-09-11,NVDA,C,beta_gate_fail,2.463935392770717
2024-09-12,NVDA,C,beta_gate_fail,2.495385069224318
2024-09-13,NVDA,C,beta_gate_fail,2.4893512573354655
2024-09-16,NVDA,C,beta_gate_fail,2.4826915868124333
2024-09-17,NVDA,C,beta_gate_fail,2.4773192515624487
2024-09-18,NVDA,C,beta_gate_fail,2.442994290459514
2024-09-19,NVDA,C,beta_gate_fail,2.3697681549622414
2024-09-20,NVDA,C,beta_gate_fail,2.3717095050741115
2024-09-23,NVDA,C,beta_gate_fail,2.3757377474695085
2024-09-24,NVDA,C,beta_gate_fail,2.3895516053056354
2024-09-25,NVDA,C,beta_gate_fail,2.394435310230283
2024-09-26,NVDA,C,beta_gate_fail,2.4177319950766214
2024-09-27,NVDA,C,beta_gate_fail,2.405586078343514
2024-09-30,NVDA,C,beta_gate_fail,2.442065846186399
2024-10-01,NVDA,C,beta_gate_fail,2.444642500300332
2024-10-02,NVDA,C,beta_gate_fail,2.4438283371266407
2024-10-03,NVDA,C,beta_gate_fail,2.443043820478691
2024-10-04,NVDA,C,beta_gate_fail,2.4276064194997367
2024-10-07,NVDA,C,beta_gate_fail,2.386685117708965
2024-10-08,NVDA,C,beta_gate_fail,2.3944853314861216
2024-10-09,NVDA,C,beta_gate_fail,2.3801841752510926
2024-10-10,NVDA,C,beta_gate_fail,2.3822610269183984
2024-10-11,NVDA,C,beta_gate_fail,2.3987502786879102
2024-10-14,NVDA,C,beta_gate_fail,2.395840133636624
2024-10-15,NVDA,C,beta_gate_fail,2.401473410920858
2024-10-16,NVDA,C,beta_gate_fail,2.4004784987068426
2024-10-17,NVDA,C,beta_gate_fail,2.463854822650735
2024-10-18,NVDA,C,beta_gate_fail,2.469344791750481
2024-10-21,NVDA,C,beta_gate_fail,2.489653240683007
2024-10-22,NVDA,C,beta_gate_fail,2.4908307430063434
2024-10-23,NVDA,C,beta_gate_fail,2.42308086475544
2024-10-24,NVDA,C,beta_gate_fail,2.2498483633323194
2024-10-25,NVDA,C,beta_gate_fail,2.210529409900297
2024-10-28,NVDA,C,beta_gate_fail,2.3066918164831614
2024-10-29,NVDA,C,beta_gate_fail,2.299511988563016
2024-10-30,NVDA,C,beta_gate_fail,2.2856665590761396
2024-10-31,NVDA,C,beta_gate_fail,2.211673150201009
2024-11-01,NVDA,C,beta_gate_fail,2.2351702452448152
2024-11-04,NVDA,C,beta_gate_fail,2.2385421221931217
2024-11-05,NVDA,C,beta_gate_fail,2.232616290108329
2024-11-06,NVDA,C,beta_gate_fail,2.135270449318042
2024-11-07,NVDA,C,beta_gate_fail,2.118085993035064
2024-11-08,NVDA,C,beta_gate_fail,2.1554239639900827
2024-11-11,NVDA,C,beta_gate_fail,2.1593374631824593
2024-11-12,NVDA,C,beta_gate_fail,2.1230540844815535
2024-11-13,NVDA,C,beta_gate_fail,2.119063996785661
2024-11-14,NVDA,C,beta_gate_fail,2.102429431412423
2024-11-15,NVDA,C,beta_gate_fail,2.042314314137664
2024-11-18,NVDA,C,beta_gate_fail,1.991977795758309
2024-11-19,NVDA,C,beta_gate_fail,2.0157968538505844
2024-11-20,NVDA,C,beta_gate_fail,2.0152355960062724
2024-11-21,NVDA,C,beta_gate_fail,2.0179089953424914
2024-11-22,NVDA,C,beta_gate_fail,1.9977490738220656
2024-11-25,NVDA,C,beta_gate_fail,2.008234938647178
2024-11-26,NVDA,C,beta_gate_fail,1.8276146124895818
2024-11-27,NVDA,C,beta_gate_fail,1.8151603824917628
2024-11-29,NVDA,C,beta_gate_fail,1.820659204554524
2024-12-02,NVDA,C,beta_gate_fail,1.8234539935677014
2024-12-03,NVDA,C,beta_gate_fail,1.803184568155157
2024-12-04,NVDA,C,beta_gate_fail,1.8298162304109804
2024-12-05,NVDA,C,beta_gate_fail,1.674798256327364
2024-12-06,NVDA,C,beta_gate_fail,1.6260690789655752
2024-12-09,NVDA,C,beta_gate_fail,1.65373993332604
2024-12-10,NVDA,C,beta_gate_fail,1.6606050988191223
2024-12-11,NVDA,C,beta_gate_fail,1.6636617379125522
2024-12-12,NVDA,C,beta_gate_fail,1.6544275620643651
2024-12-13,NVDA,C,beta_gate_fail,1.6224179410736608
2024-12-16,NVDA,C,beta_gate_fail,1.5172306916397724
2024-12-17,NVDA,C,beta_gate_fail,1.5239336588976293
2025-01-27,NVDA,C,beta_gate_fail,1.8530955425889932
2025-01-28,NVDA,C,beta_gate_fail,1.9572614279867686
2025-01-29,NVDA,C,beta_gate_fail,1.9709404890455298
2025-01-30,NVDA,C,beta_gate_fail,1.9921645808164765
2025-01-31,NVDA,C,beta_gate_fail,1.9967629945988432
