ts,symbol,combo,event,beta_60
2023-04-26,GLD,C,beta_gate_fail,1.0
2023-04-27,GLD,C,beta_gate_fail,1.0
2023-04-28,GLD,C,beta_gate_fail,1.0
2023-05-01,GLD,C,beta_gate_fail,1.0
2023-05-02,GLD,C,beta_gate_fail,1.0
2023-05-03,GLD,C,beta_gate_fail,1.0
2023-05-04,GLD,C,beta_gate_fail,1.0
2023-05-05,GLD,C,beta_gate_fail,1.0
2023-05-08,GLD,C,beta_gate_fail,1.0
2023-05-09,GLD,C,beta_gate_fail,1.0
2023-05-10,GLD,C,beta_gate_fail,1.0
2023-05-11,GLD,C,beta_gate_fail,1.0
2023-05-12,GLD,C,beta_gate_fail,1.0
2023-05-15,GLD,C,beta_gate_fail,1.0
2023-05-16,GLD,C,beta_gate_fail,1.0
2023-05-17,GLD,C,beta_gate_fail,1.0
2023-05-18,GLD,C,beta_gate_fail,1.0
2023-05-19,GLD,C,beta_gate_fail,1.0
2023-05-22,GLD,C,beta_gate_fail,1.0
2023-05-23,GLD,C,beta_gate_fail,1.0
2023-05-24,GLD,C,beta_gate_fail,1.0
2023-05-25,GLD,C,beta_gate_fail,1.0
2023-05-26,GLD,C,beta_gate_fail,1.0
2023-05-30,GLD,C,beta_gate_fail,1.0
2023-05-31,GLD,C,beta_gate_fail,1.0
2023-06-01,GLD,C,beta_gate_fail,1.0
2023-06-02,GLD,C,beta_gate_fail,1.0
2023-06-05,GLD,C,beta_gate_fail,1.0
2023-06-06,GLD,C,beta_gate_fail,1.0
2023-06-07,GLD,C,beta_gate_fail,1.0
2023-06-08,GLD,C,beta_gate_fail,1.0
2023-06-09,GLD,C,beta_gate_fail,1.0
2023-06-12,GLD,C,beta_gate_fail,1.0
2023-06-13,GLD,C,beta_gate_fail,1.0
2023-06-14,GLD,C,beta_gate_fail,1.0
2023-06-15,GLD,C,beta_gate_fail,1.0
2023-06-16,GLD,C,beta_gate_fail,1.0
2023-06-20,GLD,C,beta_gate_fail,1.0
2023-06-21,GLD,C,beta_gate_fail,1.0
2023-06-22,GLD,C,beta_gate_fail,1.0
2023-06-23,GLD,C,beta_gate_fail,1.0
2023-06-26,GLD,C,beta_gate_fail,1.0
2023-06-27,GLD,C,beta_gate_fail,1.0
2023-06-28,GLD,C,beta_gate_fail,1.0
2023-06-29,GLD,C,beta_gate_fail,1.0
2023-06-30,GLD,C,beta_gate_fail,1.0
2023-07-03,GLD,C,beta_gate_fail,1.0
2023-07-05,GLD,C,beta_gate_fail,1.0
2023-07-06,GLD,C,beta_gate_fail,1.0
2023-07-07,GLD,C,beta_gate_fail,1.0
2023-07-10,GLD,C,beta_gate_fail,1.0
2023-07-11,GLD,C,beta_gate_fail,1.0
2023-07-12,GLD,C,beta_gate_fail,1.0
2023-07-13,GLD,C,beta_gate_fail,1.0
2023-07-14,GLD,C,beta_gate_fail,1.0
2023-07-17,GLD,C,beta_gate_fail,1.0
2023-07-18,GLD,C,beta_gate_fail,1.0
2023-07-19,GLD,C,beta_gate_fail,1.0
2023-07-20,GLD,C,beta_gate_fail,1.0
2023-04-26,JNJ,C,beta_gate_fail,1.0
2023-04-27,JNJ,C,beta_gate_fail,1.0
2023-04-28,JNJ,C,beta_gate_fail,1.0
2023-05-01,JNJ,C,beta_gate_fail,1.0
2023-05-02,JNJ,C,beta_gate_fail,1.0
2023-05-03,JNJ,C,beta_gate_fail,1.0
2023-05-04,JNJ,C,beta_gate_fail,1.0
2023-05-05,JNJ,C,beta_gate_fail,1.0
2023-05-08,JNJ,C,beta_gate_fail,1.0
2023-05-09,JNJ,C,beta_gate_fail,1.0
2023-05-10,JNJ,C,beta_gate_fail,1.0
2023-05-11,JNJ,C,beta_gate_fail,1.0
2023-05-12,JNJ,C,beta_gate_fail,1.0
2023-05-15,JNJ,C,beta_gate_fail,1.0
2023-05-16,JNJ,C,beta_gate_fail,1.0
2023-05-17,JNJ,C,beta_gate_fail,1.0
2023-05-18,JNJ,C,beta_gate_fail,1.0
2023-05-19,JNJ,C,beta_gate_fail,1.0
2023-05-22,JNJ,C,beta_gate_fail,1.0
2023-05-23,JNJ,C,beta_gate_fail,1.0
2023-05-24,JNJ,C,beta_gate_fail,1.0
2023-05-25,JNJ,C,beta_gate_fail,1.0
2023-05-26,JNJ,C,beta_gate_fail,1.0
2023-05-30,JNJ,C,beta_gate_fail,1.0
2023-05-31,JNJ,C,beta_gate_fail,1.0
2023-06-01,JNJ,C,beta_gate_fail,1.0
2023-06-02,JNJ,C,beta_gate_fail,1.0
2023-06-05,JNJ,C,beta_gate_fail,1.0
2023-06-06,JNJ,C,beta_gate_fail,1.0
2023-06-07,JNJ,C,beta_gate_fail,1.0
2023-06-08,JNJ,C,beta_gate_fail,1.0
2023-06-09,JNJ,C,beta_gate_fail,1.0
2023-06-12,JNJ,C,beta_gate_fail,1.0
2023-06-13,JNJ,C,beta_gate_fail,1.0
2023-06-14,JNJ,C,beta_gate_fail,1.0
2023-06-15,JNJ,C,beta_gate_fail,1.0
2023-06-16,JNJ,C,beta_gate_fail,1.0
2023-06-20,JNJ,C,beta_gate_fail,1.0
2023-06-21,JNJ,C,beta_gate_fail,1.0
2023-06-22,JNJ,C,beta_gate_fail,1.0
2023-06-23,JNJ,C,beta_gate_fail,1.0
2023-06-26,JNJ,C,beta_gate_fail,1.0
2023-06-27,JNJ,C,beta_gate_fail,1.0
2023-06-28,JNJ,C,beta_gate_fail,1.0
2023-06-29,JNJ,C,beta_gate_fail,1.0
2023-06-30,JNJ,C,beta_gate_fail,1.0
2023-07-03,JNJ,C,beta_gate_fail,1.0
2023-07-05,JNJ,C,beta_gate_fail,1.0
2023-07-06,JNJ,C,beta_gate_fail,1.0
2023-07-07,JNJ,C,beta_gate_fail,1.0
2023-07-10,JNJ,C,beta_gate_fail,1.0
2023-07-11,JNJ,C,beta_gate_fail,1.0
2023-07-12,JNJ,C,beta_gate_fail,1.0
2023-07-13,JNJ,C,beta_gate_fail,1.0
2023-07-14,JNJ,C,beta_gate_fail,1.0
2023-07-17,JNJ,C,beta_gate_fail,1.0
2023-07-18,JNJ,C,beta_gate_fail,1.0
2023-07-19,JNJ,C,beta_gate_fail,1.0
2023-07-20,JNJ,C,beta_gate_fail,1.0
2023-04-26,KO,C,beta_gate_fail,1.0
2023-04-27,KO,C,beta_gate_fail,1.0
2023-04-28,KO,C,beta_gate_fail,1.0
2023-05-01,KO,C,beta_gate_fail,1.0
2023-05-02,KO,C,beta_gate_fail,1.0
2023-05-03,KO,C,beta_gate_fail,1.0
2023-05-04,KO,C,beta_gate_fail,1.0
2023-05-05,KO,C,beta_gate_fail,1.0
2023-05-08,KO,C,beta_gate_fail,1.0
2023-05-09,KO,C,beta_gate_fail,1.0
2023-05-10,KO,C,beta_gate_fail,1.0
2023-05-11,KO,C,beta_gate_fail,1.0
2023-05-12,KO,C,beta_gate_fail,1.0
2023-05-15,KO,C,beta_gate_fail,1.0
2023-05-16,KO,C,beta_gate_fail,1.0
2023-05-17,KO,C,beta_gate_fail,1.0
2023-05-18,KO,C,beta_gate_fail,1.0
2023-05-19,KO,C,beta_gate_fail,1.0
2023-05-22,KO,C,beta_gate_fail,1.0
2023-05-23,KO,C,beta_gate_fail,1.0
2023-05-24,KO,C,beta_gate_fail,1.0
2023-05-25,KO,C,beta_gate_fail,1.0
2023-05-26,KO,C,beta_gate_fail,1.0
2023-05-30,KO,C,beta_gate_fail,1.0
2023-05-31,KO,C,beta_gate_fail,1.0
2023-06-01,KO,C,beta_gate_fail,1.0
2023-06-02,KO,C,beta_gate_fail,1.0
2023-06-05,KO,C,beta_gate_fail,1.0
2023-06-06,KO,C,beta_gate_fail,1.0
2023-06-07,KO,C,beta_gate_fail,1.0
2023-06-08,KO,C,beta_gate_fail,1.0
2023-06-09,KO,C,beta_gate_fail,1.0
2023-06-12,KO,C,beta_gate_fail,1.0
2023-06-13,KO,C,beta_gate_fail,1.0
2023-06-14,KO,C,beta_gate_fail,1.0
2023-06-15,KO,C,beta_gate_fail,1.0
2023-06-16,KO,C,beta_gate_fail,1.0
2023-06-20,KO,C,beta_gate_fail,1.0
2023-06-21,KO,C,beta_gate_fail,1.0
2023-06-22,KO,C,beta_gate_fail,1.0
2023-06-23,KO,C,beta_gate_fail,1.0
2023-06-26,KO,C,beta_gate_fail,1.0
2023-06-27,KO,C,beta_gate_fail,1.0
2023-06-28,KO,C,beta_gate_fail,1.0
2023-06-29,KO,C,beta_gate_fail,1.0
2023-06-30,KO,C,beta_gate_fail,1.0
2023-07-03,KO,C,beta_gate_fail,1.0
2023-07-05,KO,C,beta_gate_fail,1.0
2023-07-06,KO,C,beta_gate_fail,1.0
2023-07-07,KO,C,beta_gate_fail,1.0
2023-07-10,KO,C,beta_gate_fail,1.0
2023-07-11,KO,C,beta_gate_fail,1.0
2023-07-12,KO,C,beta_gate_fail,1.0
2023-07-13,KO,C,beta_gate_fail,1.0
2023-07-14,KO,C,beta_gate_fail,1.0
2023-07-17,KO,C,beta_gate_fail,1.0
2023-07-18,KO,C,beta_gate_fail,1.0
2023-07-19,KO,C,beta_gate_fail,1.0
2023-07-20,KO,C,beta_gate_fail,1.0
2023-04-26,PG,C,beta_gate_fail,1.0
2023-04-27,PG,C,beta_gate_fail,1.0
2023-04-28,PG,C,beta_gate_fail,1.0
2023-05-01,PG,C,beta_gate_fail,1.0
2023-05-02,PG,C,beta_gate_fail,1.0
2023-05-03,PG,C,beta_gate_fail,1.0
