ts,symbol,combo,event,direction,close,ema21,adx14,vol_ratio
2023-08-28,NVDA,A,hammer_entry,LONG,46.83,45.06774155304847,20.866009622394483,1.0805866033486682
2023-10-06,NVDA,A,hammer_entry,LONG,45.76,44.13820208178771,15.954023639623733,0.9397868439322233
2024-02-21,NVDA,A,hammer_entry,LONG,67.47,66.9680665561977,50.568222716257566,1.3273840179079905
2024-04-02,NVDA,A,hammer_entry,LONG,89.46,88.09672724095552,47.304470938458266,0.5491985604277654
2024-04-11,NVDA,A,hammer_entry,LONG,90.59,87.87461967668654,32.8701084257038,1.0394065970136872
2024-06-25,NVDA,A,hammer_entry,LONG,126.1,120.02331318612453,48.43589101496941,0.8246797707475452
2024-07-02,NVDA,A,hammer_entry,LONG,122.645,121.52820326239794,42.820735563487034,0.5001256637683451
2024-09-24,NVDA,A,hammer_entry,LONG,120.83,116.17847638385373,15.272858794002312,1.1062244435306217
2024-11-01,NVDA,A,hammer_entry,LONG,135.4,135.1384730689686,19.37420744209044,0.8893760672653634
2025-08-22,NVDA,A,hammer_entry,LONG,177.98,176.73062930188868,35.384219288364974,1.0721458198211369
2025-09-15,NVDA,A,hammer_entry,LONG,177.76,175.27235582471923,25.03781712431066,0.9647003665466289
2025-09-22,NVDA,A,hammer_entry,LONG,183.6,175.8358692741549,21.40718918937022,1.7142980878345886
2025-09-25,NVDA,A,hammer_entry,LONG,177.68,176.28463506698336,18.208079384113205,0.935360606242947
2025-11-11,NVDA,A,hammer_entry,LONG,193.265,192.3598901861817,16.992751634513215,0.9914777777810001
2023-12-22,AAPL,A,hammer_entry,LONG,193.59,193.10446048619136,31.487256030614503,0.7840967102031908
2024-01-29,AAPL,A,hammer_entry,LONG,191.765,190.32510857877443,20.351180101244534,0.7792041821590329
2024-10-23,AAPL,A,hammer_entry,LONG,230.675,230.06223948031118,15.548188441713318,1.5906129531738247
2025-02-26,AAPL,A,hammer_entry,LONG,240.38,239.94770877933743,23.185532555000577,1.0856557906570978
2025-02-28,AAPL,A,hammer_entry,LONG,241.37,239.87389155317143,20.50136840516473,1.1800840273320747
2025-09-12,AAPL,A,hammer_entry,LONG,234.04,230.42071453555386,24.33666273533512,1.304138532414688
2025-10-15,AAPL,A,hammer_entry,LONG,249.405,249.375776315685,28.043863113978123,0.8069899693084557
2025-11-17,AAPL,A,hammer_entry,LONG,267.5,267.1315842204693,30.835298702161566,0.9939154068807727
2025-12-11,AAPL,A,hammer_entry,LONG,278.08,276.027140404293,30.17185668470311,0.7264354165875168
