ts,symbol,combo,event,direction,st_line,bars_since_flip,low,high,rsi_ok,adx_slope_ok,rsi,adx_slope
2023-08-21,NVDA,B,flip_armed,LONG,40.99211014871634,,,,,,,
2023-08-22,NVDA,B,no_pullback,LONG,41.855399133844706,1.0,45.34,48.17,,,,
2023-08-23,NVDA,B,no_pullback,LONG,41.855399133844706,2.0,45.22,47.2,,,,
2023-08-24,NVDA,B,no_pullback,LONG,43.51082329841421,3.0,47.16,50.27,,,,
2023-08-25,NVDA,B,no_pullback,LONG,43.51082329841421,4.0,45.03,47.8,,,,
2023-08-28,NVDA,B,no_pullback,LONG,43.51082329841421,5.0,44.9,46.97,,,,
2023-08-29,NVDA,B,no_pullback,LONG,43.51082329841421,6.0,46.4,49.07,,,,
2023-08-30,NVDA,B,no_pullback,LONG,43.86328216608956,7.0,48.43,49.92,,,,
2023-08-31,NVDA,B,no_pullback,LONG,44.3669539494806,8.0,48.96,49.71,,,,
2023-09-01,NVDA,B,no_pullback,LONG,44.3669539494806,9.0,48.15,49.78,,,,
