trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period,regime_at_entry,spy_adx_at_entry,spy_trending_at_entry,bb_mid_at_entry,entry_to_mid_dist
1,GLD,C,LONG,2023-09-27,174.09,1.2929064240386452,2023-09-28,174.02696999999998,0.7836,172.7341,22.73,2271.73,2023-09-28,172.6477,SL,1,-1.0808,1.0,-2.0808,-0.000916,False,all,corrective,22.34,False,178.2145,-4.1875
2,GLD,C,LONG,2023-09-29,171.46,1.4214346207272008,2023-10-02,170.21506499999998,0.8,168.7936,22.7,2268.65,2023-10-02,169.8949,ACCEL_SL,1,-0.2561,1.0,-1.2561,-0.000554,False,all,corrective,24.2,False,177.4323,-7.2172
3,GLD,C,LONG,2023-10-03,169.16,1.4428186270555972,2023-10-04,169.30461,0.8035,167.8618,22.67,2266.39,2023-10-13,178.7456,BB_MID,8,7.5862,1.0,6.5862,0.002906,True,all,corrective,26.36,False,176.4347,-7.1301
4,GLD,C,LONG,2024-02-13,184.565,1.651506094147139,2024-02-14,184.34212499999998,0.7398,182.6906,22.73,2271.98,2024-02-20,187.3863,BB_MID,4,2.2521,1.0,1.2521,0.000551,True,all,trending,33.81,True,187.6672,-3.3251
5,GLD,C,LONG,2024-11-12,240.04,3.093334469232831,2024-11-13,241.430655,0.5649,238.3373,22.73,2272.23,2024-11-13,238.2182,SL,1,-1.8149,1.0,-2.8149,-0.001239,False,all,corrective,24.79,False,250.6873,-9.2566
6,GLD,C,LONG,2024-11-14,237.03,3.0468037005119797,2024-11-15,237.63876,0.573,234.592,22.69,2268.41,2024-11-22,249.7501,BB_MID,6,6.9397,1.0,5.9397,0.002618,True,all,corrective,24.66,False,249.6352,-11.9965
7,GLD,C,LONG,2024-12-18,239.29,2.868882061012443,2024-12-19,239.70979499999999,0.5693,236.8409,22.74,2273.35,2025-01-02,245.3373,BB_MID,9,3.2036,1.0,2.2036,0.000969,True,all,corrective,22.74,False,244.9055,-5.1957
8,GLD,C,LONG,2025-06-27,301.25,4.236589490874661,2025-06-30,302.53619249999997,0.4513,298.2996,22.76,2274.56,2025-07-02,309.1004,BB_MID,3,2.9624,1.0,1.9624,0.000863,True,all,corrective,16.01,False,308.8082,-6.2721
9,GLD,C,LONG,2025-07-30,301.04,3.604982381223291,2025-07-31,304.74229499999996,0.4482,301.1373,22.77,2275.52,2025-08-01,308.9854,BB_MID,2,1.9019,1.0,0.9019,0.000396,True,all,trending,32.37,True,307.9745,-3.2322
10,GLD,C,LONG,2026-03-18,444.82,10.64759047509843,2026-03-19,420.4951425,0.3248,409.8476,22.76,2275.42,2026-03-19,427.6191,ACCEL_SL,1,2.314,1.0,1.314,0.000577,True,all,corrective,30.59,False,470.3708,-49.8756
1,JNJ,C,LONG,2023-08-21,167.45,3.1589155198890913,2023-08-22,166.6382775,0.8183,163.4794,22.73,2271.73,2023-08-28,163.3976,SL,5,-2.6519,1.0,-3.6519,-0.001608,False,all,corrective,25.37,False,171.875,-5.2367
2,JNJ,C,LONG,2023-09-27,157.12,2.3717231218699477,2023-09-28,157.59876,0.8635,155.227,22.68,2267.08,2023-10-02,155.1494,SL,3,-2.115,1.0,-3.115,-0.001374,False,all,corrective,22.34,False,161.3455,-3.7467
3,JNJ,C,LONG,2023-10-18,152.68,2.243683769507044,2023-10-19,151.68580500000002,0.8955,149.4421,22.64,2262.96,2023-10-26,149.3674,SL,6,-2.0762,1.0,-3.0762,-0.001359,False,all,corrective,19.34,False,157.2155,-5.5297
4,JNJ,C,LONG,2023-10-27,145.69,2.3620750319478736,2023-10-30,146.42817749999998,0.926,144.0661,22.6,2258.88,2023-11-10,147.2264,TIME,10,0.7391,1.0,-0.2609,-0.000115,False,all,corrective,30.56,False,154.3628,-7.9346
5,JNJ,C,LONG,2024-02-02,156.61,1.9202366927256882,2024-02-05,156.57825,0.8655,154.658,22.59,2257.62,2024-02-16,156.4617,TIME,10,-0.1008,1.0,-1.1008,-0.000488,False,all,trending,32.01,True,160.2828,-3.7045
6,JNJ,C,LONG,2024-03-18,156.78,2.058624243050969,2024-03-19,156.67829999999998,0.8641,154.6197,22.57,2255.52,2024-04-02,157.7311,TIME,10,0.9098,1.0,-0.0902,-4e-05,False,all,trending,27.21,True,160.128,-3.4497
7,JNJ,C,LONG,2024-04-11,148.83,1.9448354898288238,2024-04-12,148.2891075,0.9126,146.3443,22.55,2254.43,2024-04-16,146.2711,SL,3,-1.8416,1.0,-2.8416,-0.00126,False,all,corrective,18.41,False,155.1085,-6.8194
8,JNJ,C,LONG,2024-05-28,144.405,2.373420926562196,2024-05-29,143.981955,0.9383,141.6085,22.52,2250.59,2024-06-11,146.7366,TIME,10,2.5846,1.0,1.5846,0.000704,True,all,corrective,21.64,False,150.1273,-6.1453
9,JNJ,C,LONG,2024-09-25,160.61,2.1352190292722644,2024-09-26,160.430175,0.8423,158.295,22.52,2251.18,2024-10-09,160.5597,TIME,10,0.1091,1.0,-0.8909,-0.000396,False,all,corrective,19.34,False,165.1373,-4.7071
10,JNJ,C,LONG,2024-11-12,152.66,2.114012760322091,2024-11-13,152.3911575,0.886,150.2771,22.5,2249.28,2024-11-26,154.4128,TIME,10,1.7911,1.0,0.7911,0.000352,True,all,corrective,24.79,False,160.3705,-7.9793
11,JNJ,C,LONG,2024-12-04,150.445,2.1952433087568672,2024-12-05,149.944935,0.9004,147.7497,22.5,2249.08,2024-12-11,147.6758,SL,5,-2.043,1.0,-3.043,-0.001353,False,all,corrective,22.36,False,154.3453,-4.4003
12,JNJ,C,LONG,2024-12-16,143.84,2.245154352098449,2024-12-17,143.921925,0.9364,141.6768,22.46,2245.03,2024-12-31,144.5377,TIME,10,0.5766,1.0,-0.4234,-0.000189,False,all,corrective,22.96,False,151.544,-7.6221
13,JNJ,C,LONG,2025-04-01,153.24,3.086320399688938,2025-04-02,153.91692,0.875,150.8306,22.45,2243.61,2025-04-07,150.7552,SL,4,-2.7665,1.0,-3.7665,-0.001679,False,all,corrective,29.11,False,163.304,-9.3871
14,JNJ,C,LONG,2025-05-13,148.42,3.3732205239430675,2025-05-14,148.724325,0.9036,145.3511,22.4,2238.84,2025-05-28,152.3388,TIME,10,3.2661,1.0,2.2661,0.001012,True,all,corrective,17.83,False,155.0618,-6.3374
15,JNJ,C,LONG,2025-06-18,150.77,2.2338775191304903,2025-06-20,151.33562999999998,0.8885,149.1018,22.41,2240.11,2025-06-20,149.0272,SL,1,-2.0511,1.0,-3.0511,-0.001362,False,all,corrective,15.51,False,154.173,-2.8374
1,KO,C,LONG,2023-08-31,59.83,0.6096754959439349,2023-09-01,60.02499749999999,2.2718,59.4153,22.73,2271.73,2023-09-01,59.3856,SL,1,-1.4525,1.0,-2.4525,-0.00108,False,all,corrective,20.15,False,60.6042,-0.5793
2,KO,C,LONG,2023-09-05,58.81,0.6367355041557398,2023-09-06,58.72935,2.3184,58.0926,22.69,2268.27,2023-09-08,58.0636,SL,3,-1.5435,1.0,-2.5435,-0.001121,False,all,corrective,20.39,False,60.4137,-1.6844
3,KO,C,LONG,2023-09-27,55.95,0.6603891107163222,2023-09-28,56.268119999999996,2.416,55.6077,22.66,2264.73,2023-10-02,55.5799,SL,3,-1.6627,1.0,-2.6627,-0.001176,False,all,corrective,22.34,False,58.2687,-2.0006
4,KO,C,LONG,2023-10-03,54.885,0.6746075435018971,2023-10-04,54.952462499999996,2.4698,54.2779,22.62,2261.07,2023-10-05,54.2507,SL,2,-1.7332,1.0,-2.7332,-0.001209,False,all,corrective,26.36,False,57.4548,-2.5023
5,KO,C,LONG,2023-12-20,57.61,0.7280816880973635,2023-12-21,57.858914999999996,2.3419,57.1308,22.58,2257.34,2023-12-27,58.6806,BB_MID,4,1.9244,1.0,0.9244,0.00041,True,all,trending,51.38,True,58.6975,-0.8386
6,KO,C,LONG,2024-04-15,58.14,0.666698455099762,2024-04-16,58.239104999999995,2.3265,57.5724,22.58,2257.26,2024-04-19,60.1349,BB_MID,4,4.4107,1.0,3.4107,0.001511,True,all,corrective,18.95,False,59.9015,-1.6624
7,KO,C,LONG,2024-10-03,70.49,0.944843878147528,2024-10-04,69.904935,1.9404,68.9601,22.61,2259.67,2024-10-07,68.9256,SL,2,-1.9002,1.0,-2.9002,-0.001283,False,all,corrective,19.3,False,71.447,-1.5421
8,KO,C,LONG,2024-10-23,67.995,1.065141472953176,2024-10-24,67.75385999999999,1.9985,66.6887,22.57,2255.77,2024-10-28,66.6554,SL,3,-2.1953,1.0,-3.1953,-0.001417,False,all,trending,27.07,True,70.168,-2.4141
9,KO,C,LONG,2024-10-29,65.59,1.038052259709905,2024-10-30,65.52274499999999,2.0627,64.4847,22.53,2251.57,2024-11-06,64.4525,SL,6,-2.2077,1.0,-3.2077,-0.001425,False,all,corrective,23.97,False,69.156,-3.6333
10,KO,C,LONG,2025-01-06,60.83,0.8693511640273277,2025-01-07,61.17057,2.2053,60.3012,22.48,2247.37,2025-01-16,62.2389,BB_MID,7,2.356,1.0,1.356,0.000603,True,all,trending,26.11,True,62.5115,-1.3409
11,KO,C,LONG,2025-05-12,69.55,1.3791354622289032,2025-05-13,69.624795,1.9379,68.2457,22.49,2247.72,2025-05-16,71.979,BB_MID,4,4.5621,1.0,3.5621,0.001585,True,all,corrective,17.32,False,71.9953,-2.3705
12,KO,C,LONG,2025-06-16,70.56,1.0392510687432583,2025-06-17,70.465215,1.9169,69.426,22.51,2250.29,2025-06-18,69.3913,SL,2,-2.0587,1.0,-3.0587,-0.001359,False,all,corrective,16.97,False,71.5917,-1.1265
13,KO,C,LONG,2025-06-20,68.86,1.0044295182321206,2025-06-23,69.17457,1.9492,68.1701,22.47,2246.23,2025-07-01,71.6442,BB_MID,7,4.8137,1.0,3.8137,0.001698,True,all,corrective,14.62,False,71.2042,-2.0297
14,KO,C,LONG,2025-07-28,68.1,0.9185409210221842,2025-07-29,68.29413,1.9768,67.3756,22.5,2249.04,2025-08-06,69.4952,BB_MID,7,2.3743,1.0,1.3743,0.000611,True,all,trending,32.26,True,69.9455,-1.6514
15,KO,C,LONG,2025-09-15,66.21,0.8998777683979949,2025-09-16,66.37817249999999,2.0342,65.4783,22.5,2249.41,2025-09-29,65.4456,SL,10,-1.8971,1.0,-2.8971,-0.001288,False,all,trending,25.83,True,68.6418,-2.2636
16,KO,C,LONG,2026-01-02,69.11,0.7685097918645007,2026-01-05,68.78937749999999,1.9595,68.0209,22.47,2245.52,2026-01-05,67.9869,SL,1,-1.5725,1.0,-2.5725,-0.001146,False,all,corrective,12.66,False,70.1257,-1.3364
17,KO,C,LONG,2026-01-06,67.85,0.7869548715566361,2026-01-07,68.06901749999999,1.9771,67.2821,22.43,2241.94,2026-01-07,67.2484,SL,1,-1.6224,1.0,-2.6224,-0.00117,False,all,corrective,11.48,False,69.896,-1.827
1,PG,C,LONG,2023-09-25,150.63,1.784813731018697,2023-09-26,150.10501499999998,0.9085,148.3202,22.73,2271.73,2023-09-27,148.246,SL,2,-1.6888,1.0,-2.6888,-0.001184,False,all,corrective,18.09,False,153.2515,-3.1465
2,PG,C,LONG,2023-09-28,146.3,1.903673748924227,2023-09-29,146.59326000000001,0.9287,144.6896,22.69,2268.04,2023-10-02,144.6172,SL,2,-1.8351,1.0,-2.8351,-0.00125,False,all,corrective,23.55,False,152.31,-5.7167
3,PG,C,LONG,2023-12-05,146.8,1.9920698927398335,2023-12-06,147.123525,0.9238,145.1315,22.65,2264.2,2023-12-08,145.0589,SL,3,-1.9073,1.0,-2.9073,-0.001284,False,all,trending,37.88,True,151.2085,-4.085
4,PG,C,LONG,2024-04-03,156.24,1.7949108619196275,2024-04-04,157.11852,0.8635,155.3236,22.61,2260.3,2024-04-05,155.2459,SL,2,-1.617,1.0,-2.617,-0.001158,False,all,corrective,23.49,False,161.0355,-3.917
5,PG,C,LONG,2024-05-29,161.7,1.765250267509732,2024-05-30,161.8558875,0.8369,160.0906,22.58,2256.68,2024-06-04,166.9015,BB_MID,4,4.2228,1.0,3.2228,0.001428,True,all,corrective,20.83,False,165.6602,-3.8044
6,PG,C,LONG,2024-07-01,162.62,2.2490610017974104,2024-07-02,162.66129,0.8336,160.4122,22.6,2258.9,2024-07-08,166.4168,BB_MID,4,3.1305,1.0,2.1305,0.000943,True,all,trending,33.97,True,166.7825,-4.1212
7,PG,C,LONG,2024-07-31,160.74,2.933118989973818,2024-08-01,160.990455,0.8427,158.0573,22.61,2260.03,2024-08-02,170.2248,BB_MID,2,7.7815,1.0,6.7815,0.003001,True,all,trending,35.0,True,166.4413,-5.4508
8,PG,C,LONG,2024-10-03,170.13,2.3210854059058765,2024-10-04,168.73432499999998,0.8061,166.4132,22.67,2265.81,2024-10-08,166.33,SL,3,-1.938,1.0,-2.938,-0.001297,False,all,corrective,19.3,False,173.899,-5.1647
9,PG,C,LONG,2024-11-06,161.03,2.238108873594665,2024-11-07,161.61576749999998,0.8401,159.3777,22.63,2261.88,2024-11-14,166.9965,BB_MID,6,4.5203,1.0,3.5203,0.001556,True,all,corrective,22.39,False,168.7023,-7.0865
10,PG,C,LONG,2025-01-06,160.67,2.3361566368957756,2025-01-07,161.7558375,0.8403,159.4197,22.65,2264.4,2025-01-10,159.34,SL,3,-2.0301,1.0,-3.0301,-0.001338,False,all,trending,26.11,True,169.0195,-7.2637
11,PG,C,LONG,2025-03-25,162.86,2.90340646069501,2025-03-26,163.38165,0.8305,160.4782,22.61,2260.37,2025-03-31,170.2448,BB_MID,4,5.6996,1.0,4.6996,0.002079,True,all,corrective,28.86,False,170.5267,-7.1451
12,PG,C,LONG,2025-04-07,160.22,3.6016586974746554,2025-04-08,162.30111,0.8374,158.6995,22.65,2264.07,2025-04-08,158.6201,SL,1,-3.0823,1.0,-4.0823,-0.001803,False,all,corrective,34.63,False,167.8218,-5.5206
13,PG,C,LONG,2025-07-14,153.795,2.3046753066648193,2025-07-15,153.83687999999998,0.8814,151.5322,22.6,2258.98,2025-07-22,158.2308,BB_MID,6,3.873,1.0,2.873,0.001272,True,all,trending,26.74,True,159.1407,-5.3039
14,PG,C,LONG,2025-07-31,150.43,2.3531342899796903,2025-08-01,151.945935,0.8932,149.5928,22.62,2260.86,2025-08-11,154.9425,BB_MID,7,2.6764,1.0,1.6764,0.000741,True,all,trending,32.37,True,156.4215,-4.4756
15,PG,C,LONG,2025-09-22,153.07,2.241241077548106,2025-09-23,153.27159749999998,0.8857,151.0304,22.63,2261.53,2025-09-23,150.9548,SL,1,-2.0519,1.0,-3.0519,-0.00135,False,all,trending,28.16,True,157.5628,-4.2912
16,PG,C,LONG,2025-09-24,152.38,2.2120650107430118,2025-09-25,152.91642,0.8862,150.7044,22.58,2257.48,2025-10-06,150.629,SL,8,-2.027,1.0,-3.027,-0.001341,False,all,trending,28.51,True,157.2037,-4.2873
