trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,A,SHORT,2023-05-04 13:00:00-04:00,27.74,0.1431124315893433,2023-05-04 13:30:00-04:00,27.346320000000002,45.71,27.4894,50.0,4999.0,2023-05-04 13:30:00-04:00,27.5032,SL,1,-7.1699,1.0,-8.1699,-0.001634,False,all
2,NVDA,A,LONG,2023-05-08 09:30:00-04:00,28.41,0.10763206155032715,2023-05-08 10:00:00-04:00,28.494239999999998,43.7881,28.3866,49.91,4989.83,2023-05-08 10:30:00-04:00,28.3724,SL,3,-5.3345,1.0,-6.3345,-0.001269,False,all
3,NVDA,A,SHORT,2023-05-12 09:30:00-04:00,28.63,0.10543613100806917,2023-05-12 10:00:00-04:00,28.585700000000003,43.5838,28.6911,49.83,4982.5,2023-05-12 10:30:00-04:00,28.3572,TP,3,9.9598,1.0,8.9598,0.001798,True,all
4,NVDA,A,SHORT,2023-06-05 12:30:00-04:00,39.24,0.2208681207151938,2023-06-05 13:00:00-04:00,39.210385,31.8248,39.4313,49.91,4990.46,2023-06-05 14:00:00-04:00,38.8512,TP,5,11.4312,1.0,10.4312,0.00209,True,all
5,NVDA,A,LONG,2023-06-08 15:30:00-04:00,38.5,0.17610740083026585,2023-06-09 09:30:00-04:00,39.06952499999999,31.9999,38.8934,50.01,4999.89,2023-06-09 10:00:00-04:00,39.5134,TP,3,14.2034,1.0,13.2034,0.002641,True,all
6,NVDA,A,LONG,2023-06-13 14:15:00-04:00,40.25,0.26357534512429137,2023-06-13 14:45:00-04:00,40.6203,30.8534,40.3567,50.13,5012.09,2023-06-13 15:45:00-04:00,41.0095,EOD,5,12.0077,1.0,11.0077,0.002196,True,all
7,NVDA,A,LONG,2023-06-21 15:45:00-04:00,43.04,0.22838719469191235,2023-06-22 09:45:00-04:00,42.691335,29.4152,42.4629,50.23,5022.1,2023-06-22 09:45:00-04:00,42.8386,EMA21_TRAIL,1,4.3309,1.0,3.3309,0.000663,True,all
8,NVDA,A,LONG,2023-07-31 09:45:00-04:00,46.68,0.24179043307109963,2023-07-31 10:15:00-04:00,46.923449999999995,26.7746,46.6817,50.25,5024.43,2023-07-31 10:30:00-04:00,46.6583,SL,2,-7.0988,1.0,-8.0988,-0.001612,False,all
9,NVDA,A,SHORT,2023-08-08 11:15:00-04:00,44.88,0.2336582946605006,2023-08-08 11:45:00-04:00,44.267855000000004,28.3294,44.5015,50.16,5015.33,2023-08-08 12:15:00-04:00,44.5238,SL,3,-7.2498,1.0,-8.2498,-0.001645,False,all
10,NVDA,A,SHORT,2023-08-10 09:45:00-04:00,43.36,0.3062983678415987,2023-08-10 10:15:00-04:00,43.1784,28.9907,43.4847,50.07,5006.08,2023-08-10 11:15:00-04:00,42.5442,TP,5,18.3858,1.0,17.3858,0.003473,True,all
11,NVDA,A,LONG,2023-08-22 10:15:00-04:00,46.07,0.4316398237905502,2023-08-22 10:45:00-04:00,46.14306,27.2168,45.7114,50.23,5022.47,2023-08-22 11:00:00-04:00,46.057,EMA21_TRAIL,2,-2.3434,1.0,-3.3434,-0.000666,False,all
12,NVDA,A,SHORT,2023-09-08 12:15:00-04:00,45.97,0.25950366932438346,2023-09-08 12:45:00-04:00,45.767105,27.4166,46.0266,50.19,5018.12,2023-09-08 15:30:00-04:00,45.4627,TIME,12,8.3452,1.0,7.3452,0.001464,True,all
13,NVDA,A,SHORT,2023-09-18 15:45:00-04:00,43.96,0.21141056842786857,2023-09-19 09:45:00-04:00,43.648165000000006,28.784,43.8596,50.25,5024.47,2023-09-19 12:00:00-04:00,43.2306,TP,10,12.0193,1.0,11.0193,0.002193,True,all
14,NVDA,A,LONG,2023-09-26 11:15:00-04:00,42.13,0.2668961345039832,2023-09-26 11:45:00-04:00,42.36117,29.7176,42.0943,50.35,5034.49,2023-09-26 11:45:00-04:00,42.0732,SL,1,-8.557,1.0,-9.557,-0.001898,False,all
15,NVDA,A,SHORT,2023-10-04 09:30:00-04:00,43.89,0.2329708812532882,2023-10-04 10:00:00-04:00,43.7781,28.6955,44.0111,50.25,5023.93,2023-10-04 10:30:00-04:00,43.8219,EMA21_TRAIL,3,-1.2569,1.0,-2.2569,-0.000449,False,all
16,NVDA,A,LONG,2023-10-10 15:45:00-04:00,45.8,0.15061515219960186,2023-10-11 09:45:00-04:00,46.363170000000004,27.0779,46.2126,50.22,5020.67,2023-10-11 09:45:00-04:00,46.1894,SL,1,-4.704,1.0,-5.704,-0.001136,False,all
17,NVDA,A,SHORT,2023-10-16 10:15:00-04:00,46.02,0.2760549996808496,2023-10-16 10:45:00-04:00,45.92702500000001,27.2986,46.2031,50.15,5013.97,2023-10-16 10:45:00-04:00,45.963,EMA21_TRAIL,1,-0.9812,1.0,-1.9812,-0.000395,False,all
18,NVDA,A,LONG,2023-10-25 09:30:00-04:00,43.13,0.19524203971480492,2023-10-25 10:00:00-04:00,43.18158,29.0169,42.9863,50.12,5010.99,2023-10-25 10:30:00-04:00,43.1584,EMA21_TRAIL,3,-0.6723,1.0,-1.6723,-0.000334,False,all
19,NVDA,A,LONG,2023-11-01 14:30:00-04:00,41.45,0.23278362580715026,2023-11-01 15:00:00-04:00,41.88093,29.9021,41.6481,50.09,5008.32,2023-11-01 15:45:00-04:00,42.2888,EOD,4,12.1975,1.0,11.1975,0.002236,True,all
20,NVDA,A,LONG,2023-11-13 15:45:00-05:00,48.61,0.18442249760896318,2023-11-14 09:45:00-05:00,49.70484,25.2466,49.5204,50.2,5018.51,2023-11-14 09:45:00-05:00,49.4957,SL,1,-5.2812,1.0,-6.2812,-0.001252,False,all
21,NVDA,A,SHORT,2023-11-15 15:45:00-05:00,48.9,0.21214424148942881,2023-11-16 09:45:00-05:00,48.395790000000005,25.8919,48.6079,50.12,5011.23,2023-11-16 09:45:00-05:00,48.6322,SL,1,-6.1221,1.0,-7.1221,-0.001421,False,all
22,NVDA,A,LONG,2023-11-21 15:30:00-05:00,49.85,0.1585212570916308,2023-11-22 09:30:00-05:00,49.894935,25.0732,49.7364,50.04,5003.11,2023-11-22 09:30:00-05:00,49.7115,SL,1,-4.5982,1.0,-5.5982,-0.001119,False,all
23,NVDA,A,SHORT,2023-12-01 09:30:00-05:00,46.85,0.2187662276784857,2023-12-01 10:00:00-05:00,46.606685000000006,26.8068,46.8255,49.98,4996.51,2023-12-01 11:00:00-05:00,46.8489,SL,5,-6.4921,1.0,-7.4921,-0.001499,False,all
24,NVDA,A,SHORT,2023-12-07 09:30:00-05:00,46.02,0.22045257200845214,2023-12-07 10:00:00-05:00,45.73712,27.2701,45.9576,49.89,4988.02,2023-12-07 10:00:00-05:00,45.9806,SL,1,-6.6384,1.0,-7.6384,-0.001531,False,all
25,NVDA,A,LONG,2023-12-13 15:15:00-05:00,47.98,0.22031365671040676,2023-12-13 15:45:00-05:00,48.10404,25.8834,47.8837,49.8,4979.38,2023-12-13 15:45:00-05:00,48.076,EOD,1,-0.7271,1.0,-1.7271,-0.000347,False,all
26,NVDA,A,LONG,2023-12-14 10:30:00-05:00,48.02,0.2641253282257381,2023-12-14 11:00:00-05:00,48.334155,25.746,48.07,49.78,4976.65,2023-12-14 11:30:00-05:00,48.046,SL,3,-7.419,1.0,-8.419,-0.001692,False,all
27,NVDA,A,LONG,2024-01-10 14:30:00-05:00,54.09,0.22571005106955466,2024-01-10 15:00:00-05:00,54.327149999999996,22.8626,54.1014,49.68,4967.24,2024-01-10 15:30:00-05:00,54.0744,SL,3,-5.7788,1.0,-6.7788,-0.001365,False,all
28,NVDA,A,LONG,2024-01-11 15:30:00-05:00,54.69,0.27696401573362583,2024-01-12 09:30:00-05:00,54.637305,22.6972,54.3603,49.6,4959.46,2024-01-12 09:30:00-05:00,54.3332,SL,1,-6.9032,1.0,-7.9032,-0.001594,False,all
29,NVDA,A,SHORT,2024-01-31 15:15:00-05:00,61.74,0.34817648304375853,2024-01-31 15:45:00-05:00,61.459255000000006,20.1416,61.8074,49.52,4950.55,2024-01-31 15:45:00-05:00,61.5508,EOD,1,-1.8431,1.0,-2.8431,-0.000574,False,all
30,NVDA,A,LONG,2024-02-23 11:00:00-05:00,78.09,0.8986706043605595,2024-02-23 11:30:00-05:00,79.129545,15.6317,78.2309,49.48,4946.71,2024-02-23 14:15:00-05:00,79.6502,TIME,12,8.138,1.0,7.138,0.001443,True,all
31,NVDA,A,LONG,2024-02-27 14:45:00-05:00,79.06,0.3429239928014182,2024-02-27 15:15:00-05:00,79.11954,15.653,78.7766,49.54,4952.85,2024-02-27 15:30:00-05:00,78.9705,EMA21_TRAIL,2,-2.333,1.0,-3.333,-0.000673,False,all
32,NVDA,A,LONG,2024-02-29 15:45:00-05:00,79.1,0.3372906802060986,2024-03-01 09:45:00-05:00,80.26011,15.4171,79.9228,49.5,4948.52,2024-03-01 10:45:00-05:00,81.0632,TP,5,12.3809,1.0,11.3809,0.0023,True,all
33,NVDA,A,SHORT,2024-03-14 15:45:00-04:00,88.04,0.6971149853407743,2024-03-15 09:45:00-04:00,86.77659,14.2893,87.4737,49.6,4958.9,2024-03-15 09:45:00-04:00,87.5174,SL,1,-10.5862,1.0,-11.5862,-0.002336,False,all
34,NVDA,A,LONG,2024-03-21 15:45:00-04:00,91.4,0.4546487934605949,2024-03-22 09:45:00-04:00,91.89592499999999,13.459,91.4413,49.47,4946.31,2024-03-22 11:00:00-04:00,92.9407,TP,6,14.0618,1.0,13.0618,0.002641,True,all
35,NVDA,A,SHORT,2024-03-28 14:45:00-04:00,90.54,0.3606198962353703,2024-03-28 15:15:00-04:00,90.37479,13.7189,90.7354,49.59,4958.37,2024-03-28 15:15:00-04:00,90.7808,SL,1,-5.5697,1.0,-6.5697,-0.001325,False,all
36,NVDA,A,SHORT,2024-04-01 15:45:00-04:00,90.3,0.3926059747192065,2024-04-02 09:45:00-04:00,87.926015,14.0795,88.3186,49.52,4950.8,2024-04-02 09:45:00-04:00,88.3628,SL,1,-6.1494,1.0,-7.1494,-0.001444,False,all
37,NVDA,A,SHORT,2024-04-05 15:00:00-04:00,87.94,0.42651278591160546,2024-04-05 15:30:00-04:00,87.68613500000001,14.0947,88.1126,49.44,4942.65,2024-04-05 15:45:00-04:00,88.1567,SL,2,-6.6325,1.0,-7.6325,-0.001544,False,all
38,NVDA,A,SHORT,2024-04-09 15:15:00-04:00,84.96,0.42952912215144334,2024-04-09 15:45:00-04:00,84.74760500000001,14.558,85.1771,49.35,4934.02,2024-04-09 15:45:00-04:00,85.2197,SL,1,-6.8731,1.0,-7.8731,-0.001596,False,all
39,NVDA,A,LONG,2024-04-12 09:30:00-04:00,89.41,0.45768209715634706,2024-04-12 10:00:00-04:00,89.51473499999999,13.7579,89.0571,49.26,4925.15,2024-04-12 10:00:00-04:00,89.2354,EMA21_TRAIL,1,-3.8436,1.0,-4.8436,-0.000983,False,all
40,NVDA,A,SHORT,2024-04-18 15:30:00-04:00,85.03,0.4876295124379238,2024-04-19 09:30:00-04:00,83.068445,14.808,83.5561,49.2,4919.3,2024-04-19 09:30:00-04:00,83.5979,SL,1,-7.8395,1.0,-8.8395,-0.001797,False,all
41,NVDA,A,LONG,2024-04-29 09:30:00-04:00,85.47,0.68328626724705,2024-04-29 10:00:00-04:00,86.713335,14.1572,86.03,49.1,4909.46,2024-04-29 10:45:00-04:00,86.7066,EMA21_TRAIL,4,-0.095,1.0,-1.095,-0.000223,False,all
42,NVDA,A,LONG,2024-05-22 11:45:00-04:00,94.74,0.3633322583596957,2024-05-22 12:15:00-04:00,94.92743999999999,12.9266,94.5641,49.08,4907.37,2024-05-22 13:30:00-04:00,94.5168,SL,6,-5.3079,1.0,-6.3079,-0.001285,False,all
43,NVDA,A,LONG,2024-05-23 15:00:00-04:00,102.68,0.8685318528948651,2024-05-23 15:30:00-04:00,102.8514,11.913,101.9829,49.01,4900.06,2024-05-23 15:45:00-04:00,103.8081,EOD,2,11.3968,1.0,10.3968,0.002122,True,all
44,NVDA,A,LONG,2024-05-29 09:30:00-04:00,111.27,0.9738671460831306,2024-05-29 10:00:00-04:00,112.54624499999998,10.9076,111.5724,49.1,4909.46,2024-05-29 12:30:00-04:00,114.1353,TP,11,17.333,1.0,16.333,0.003327,True,all
45,NVDA,A,SHORT,2024-05-31 15:30:00-04:00,109.89,0.7579294931019706,2024-06-03 09:30:00-04:00,113.66314,10.8342,114.4211,49.26,4924.79,2024-06-03 09:30:00-04:00,113.6368,EMA21_TRAIL,1,0.2855,1.0,-0.7145,-0.000145,False,all
46,NVDA,A,LONG,2024-06-12 15:15:00-04:00,124.49,0.8341185194962232,2024-06-12 15:45:00-04:00,124.612275,9.8788,123.7782,49.24,4923.08,2024-06-12 15:45:00-04:00,125.2174,EOD,1,5.9775,1.0,4.9775,0.001011,True,all
47,NVDA,A,LONG,2024-07-08 14:30:00-04:00,128.31,0.7359824625335144,2024-07-08 15:00:00-04:00,128.7393375,9.5698,128.0034,49.28,4927.05,2024-07-08 15:00:00-04:00,128.1259,EMA21_TRAIL,1,-5.8704,1.0,-6.8704,-0.001394,False,all
48,NVDA,A,SHORT,2024-07-16 09:30:00-04:00,128.48,0.8123027982354769,2024-07-16 10:00:00-04:00,126.11691000000002,9.7532,126.9292,49.2,4919.18,2024-07-16 11:00:00-04:00,126.9927,SL,5,-8.5416,1.0,-9.5416,-0.00194,False,all
49,NVDA,A,SHORT,2024-07-16 15:45:00-04:00,126.35,0.7296971153158341,2024-07-17 09:45:00-04:00,120.78457750000001,10.162,121.5143,49.1,4908.64,2024-07-17 12:00:00-04:00,118.7165,TP,10,21.0154,1.0,20.0154,0.004078,True,all
50,NVDA,A,SHORT,2024-07-19 15:15:00-04:00,118.775,0.7712162390222183,2024-07-19 15:45:00-04:00,118.06094000000002,10.4367,118.8322,49.29,4927.66,2024-07-19 15:45:00-04:00,118.069,EOD,1,-0.0842,1.0,-1.0842,-0.00022,False,all
51,NVDA,A,SHORT,2024-07-26 09:30:00-04:00,115.18,1.5630671697454943,2024-07-26 10:00:00-04:00,114.5427,10.7527,116.1058,49.27,4925.57,2024-07-26 12:15:00-04:00,113.8669,EMA21_TRAIL,10,7.2666,1.0,6.2666,0.001272,True,all
52,NVDA,A,LONG,2024-08-09 09:45:00-04:00,103.81,1.0968940815529555,2024-08-09 10:15:00-04:00,105.67281,11.6677,104.5759,49.32,4930.84,2024-08-09 10:15:00-04:00,104.5236,SL,1,-13.4083,1.0,-14.4083,-0.002922,False,all
53,NVDA,A,LONG,2024-08-09 15:45:00-04:00,104.72,0.714321531393361,2024-08-12 09:45:00-04:00,107.10352499999999,11.4759,106.3892,49.16,4915.43,2024-08-12 10:00:00-04:00,109.2637,TP,2,24.7897,1.0,23.7897,0.00484,True,all
54,NVDA,A,LONG,2024-08-14 09:30:00-04:00,114.43,0.9076247316852939,2024-08-14 10:00:00-04:00,115.08251249999999,10.7297,114.1749,49.39,4938.22,2024-08-14 11:15:00-04:00,117.0746,TP,6,21.3748,1.0,20.3748,0.004126,True,all
55,NVDA,A,LONG,2024-08-21 15:00:00-04:00,127.97,0.6521034998020397,2024-08-21 15:30:00-04:00,128.26409999999998,9.6648,127.612,49.59,4957.6,2024-08-21 15:30:00-04:00,127.906,EMA21_TRAIL,1,-3.4608,1.0,-4.4608,-0.0009,False,all
56,NVDA,A,SHORT,2024-08-27 09:45:00-04:00,126.83,1.0341483415743522,2024-08-27 10:15:00-04:00,126.83655000000002,9.7628,127.8707,49.53,4952.13,2024-08-27 10:15:00-04:00,127.3036,EMA21_TRAIL,1,-4.5599,1.0,-5.5599,-0.001123,False,all
57,NVDA,A,SHORT,2024-08-30 15:15:00-04:00,119.04,0.7926462934868548,2024-08-30 15:45:00-04:00,118.56069000000001,10.4305,119.3533,49.47,4945.57,2024-08-30 15:45:00-04:00,119.413,SL,1,-8.8901,1.0,-9.8901,-0.002,False,all
58,NVDA,A,SHORT,2024-09-05 15:45:00-04:00,107.17,0.7714336444941463,2024-09-06 09:45:00-04:00,105.52721000000001,11.6929,106.2986,49.36,4934.68,2024-09-06 10:30:00-04:00,103.2858,TP,4,26.2082,1.0,25.2082,0.005108,True,all
59,NVDA,A,SHORT,2024-09-06 15:15:00-04:00,103.395,0.8331830650741433,2024-09-06 15:45:00-04:00,103.0434525,12.0335,103.8766,49.6,4958.89,2024-09-06 15:45:00-04:00,102.9214,EOD,1,1.4683,1.0,0.4683,9.4e-05,True,all
60,NVDA,A,LONG,2024-09-13 09:45:00-04:00,118.68,0.8566295968510662,2024-09-13 10:15:00-04:00,119.10952499999999,10.4092,118.2529,49.59,4958.36,2024-09-13 10:15:00-04:00,118.3208,EMA21_TRAIL,1,-8.2099,1.0,-9.2099,-0.001857,False,all
61,NVDA,A,SHORT,2024-09-16 15:45:00-04:00,116.74,0.5540841859304244,2024-09-17 09:45:00-04:00,117.27133500000001,10.5506,117.8254,49.49,4948.15,2024-09-17 09:45:00-04:00,117.3186,EMA21_TRAIL,1,-0.499,1.0,-1.499,-0.000303,False,all
